t_ms,Fx,Fy,Fz,Mx,My,Mz,pose_x,pose_y,pose_z,pose_rx,pose_ry,pose_rz,ff_enabled,acc_x,acc_y,acc_z,is_still
7828171,-0.026,-0.132,0.029,-0.004,-0.000,-0.002,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7828218,-0.091,-0.393,0.021,-0.010,-0.000,-0.004,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7828265,-0.110,-0.508,-0.019,-0.013,-0.001,-0.003,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7828359,-0.110,-0.457,-0.050,-0.012,-0.001,-0.002,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7828406,-0.174,-0.408,-0.064,-0.011,0.002,-0.000,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7828453,-0.209,-0.393,-0.047,-0.010,0.002,0.000,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7828531,-0.184,-0.384,-0.053,-0.011,0.001,0.000,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7828609,-0.139,-0.401,0.046,-0.012,0.000,-0.004,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7828703,-0.132,-0.441,0.124,-0.013,-0.000,-0.009,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7828781,-0.178,-0.432,-0.002,-0.013,0.001,-0.004,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7828890,-0.179,-0.393,-0.038,-0.011,0.002,-0.001,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7828968,-0.130,-0.400,0.103,-0.011,0.001,-0.006,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7829109,-0.130,-0.427,0.174,-0.012,0.001,-0.009,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7829156,-0.153,-0.426,0.144,-0.011,0.001,-0.007,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7829203,-0.153,-0.433,0.167,-0.012,0.001,-0.008,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7829281,-0.161,-0.436,0.154,-0.011,0.002,-0.008,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7829421,-0.164,-0.391,0.086,-0.010,0.002,-0.004,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7829515,-0.153,-0.352,0.138,-0.009,0.002,-0.004,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7829625,-0.162,-0.366,0.123,-0.009,0.002,-0.004,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7829718,-0.199,-0.372,-0.062,-0.010,0.002,0.001,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7829812,-0.203,-0.364,-0.071,-0.010,0.002,0.002,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7829875,-0.153,-0.395,0.102,-0.010,0.001,-0.004,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7829953,-0.181,-0.402,0.068,-0.010,0.001,-0.004,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7830062,-0.272,-0.338,-0.102,-0.008,0.003,0.002,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7830171,-0.258,-0.313,-0.120,-0.008,0.003,0.003,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7830312,-0.181,-0.371,-0.070,-0.012,0.001,-0.004,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7830359,-0.136,-0.405,0.000,-0.013,-0.001,-0.007,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7830406,-0.138,-0.389,0.050,-0.011,-0.001,-0.005,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7830484,-0.169,-0.398,0.068,-0.010,0.001,-0.004,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7830625,-0.174,-0.430,0.153,-0.010,0.001,-0.006,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7830718,-0.154,-0.428,0.185,-0.012,0.001,-0.008,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7830828,-0.133,-0.402,0.182,-0.012,0.000,-0.008,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7830906,-0.148,-0.370,0.135,-0.009,0.001,-0.005,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7831000,-0.190,-0.357,0.010,-0.009,0.002,-0.000,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7831078,-0.173,-0.394,0.012,-0.013,0.001,-0.003,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7831156,-0.160,-0.414,0.007,-0.014,-0.000,-0.005,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7831265,-0.183,-0.399,-0.034,-0.012,0.001,-0.002,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7831375,-0.176,-0.395,0.016,-0.011,0.001,-0.002,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7831515,-0.207,-0.386,-0.035,-0.011,0.001,0.000,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7831562,-0.244,-0.393,-0.067,-0.010,0.002,0.000,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7831609,-0.215,-0.391,-0.009,-0.009,0.002,-0.002,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7831687,-0.194,-0.352,-0.003,-0.009,0.002,-0.001,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7831828,-0.187,-0.346,0.025,-0.010,0.002,-0.002,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7831921,-0.173,-0.373,0.065,-0.011,0.001,-0.004,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7832031,-0.189,-0.383,0.040,-0.010,0.002,-0.003,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7832109,-0.215,-0.402,0.030,-0.010,0.003,-0.003,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7832203,-0.186,-0.450,0.125,-0.011,0.002,-0.007,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7832281,-0.158,-0.458,0.159,-0.012,0.001,-0.008,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7832359,-0.192,-0.427,0.011,-0.012,0.001,-0.004,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7832468,-0.217,-0.405,-0.092,-0.012,0.002,-0.002,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7832578,-0.200,-0.384,0.022,-0.010,0.002,-0.003,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7832718,-0.186,-0.373,0.112,-0.009,0.002,-0.003,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7832765,-0.151,-0.403,0.157,-0.012,0.002,-0.007,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7832812,-0.098,-0.437,0.268,-0.014,0.000,-0.014,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7832890,-0.095,-0.434,0.298,-0.014,-0.000,-0.015,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7833031,-0.116,-0.420,0.264,-0.013,0.000,-0.013,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7833125,-0.134,-0.402,0.204,-0.011,0.001,-0.011,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7833234,-0.169,-0.381,0.110,-0.009,0.002,-0.006,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7833312,-0.206,-0.355,0.073,-0.008,0.003,-0.001,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7833406,-0.215,-0.358,0.101,-0.008,0.003,-0.002,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7833484,-0.188,-0.398,0.134,-0.011,0.001,-0.006,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7833562,-0.181,-0.406,0.041,-0.012,0.002,-0.005,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7833671,-0.212,-0.391,-0.073,-0.011,0.003,-0.000,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7833781,-0.236,-0.372,-0.057,-0.008,0.003,0.001,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7833921,-0.219,-0.359,-0.023,-0.009,0.002,0.000,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7833968,-0.174,-0.392,0.074,-0.011,0.002,-0.004,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7834015,-0.168,-0.406,0.133,-0.011,0.002,-0.004,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7834093,-0.208,-0.374,-0.007,-0.010,0.002,0.002,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7834343,-0.224,-0.348,-0.172,-0.011,0.003,0.005,-137.986,-242.537,361.411,-173.610,-1.810,113.257,1,0.0000,0.0000,0.0000,1
7834437,-0.199,-0.350,-0.160,-0.011,0.002,0.002,-137.984,-242.537,361.411,-173.611,-1.810,113.257,1,0.0000,0.0000,0.0000,1
