t_ms,Fx,Fy,Fz,Mx,My,Mz,pose_x,pose_y,pose_z,pose_rx,pose_ry,pose_rz,ff_enabled,acc_x,acc_y,acc_z,is_still
7487359,-0.025,-0.138,0.093,-0.004,-0.000,-0.004,-126.631,-236.096,366.884,-174.305,1.490,115.309,1,0.0000,0.0000,0.0000,1
7487406,-0.085,-0.402,0.269,-0.011,0.000,-0.012,-126.631,-236.096,366.884,-174.305,1.490,115.309,1,0.0000,0.0000,0.0000,1
7487531,-0.106,-0.511,0.311,-0.014,-0.000,-0.014,-126.631,-236.096,366.884,-174.305,1.490,115.309,1,0.0000,0.0000,0.0000,1
7487578,-0.110,-0.468,0.111,-0.014,-0.001,-0.008,-126.631,-236.096,366.884,-174.305,1.490,115.309,1,0.0000,0.0000,0.0000,1
7487625,-0.174,-0.420,-0.089,-0.012,0.001,0.000,-126.631,-236.096,366.884,-174.305,1.490,115.309,1,0.0000,0.0000,0.0000,1
7487703,-0.196,-0.407,0.003,-0.010,0.002,-0.001,-126.631,-236.096,366.884,-174.305,1.490,115.309,1,0.0000,0.0000,0.0000,1
7487781,-0.144,-0.427,0.140,-0.011,0.000,-0.007,-126.631,-236.096,366.884,-174.305,1.490,115.309,1,0.0000,0.0000,0.0000,1
7487875,-0.126,-0.432,0.104,-0.012,-0.000,-0.008,-126.631,-236.096,366.884,-174.305,1.490,115.309,1,0.0000,0.0000,0.0000,1
7487953,-0.167,-0.397,0.004,-0.011,0.000,-0.003,-126.631,-236.096,366.884,-174.305,1.490,115.309,1,0.0000,0.0000,0.0000,1
7488062,-0.197,-0.381,-0.101,-0.012,0.001,-0.000,-126.631,-236.096,366.884,-174.305,1.490,115.309,1,0.0000,0.0000,0.0000,1
7488156,-0.166,-0.446,-0.104,-0.015,0.000,-0.005,-126.631,-236.096,366.884,-174.305,1.490,115.309,1,0.0000,0.0000,0.0000,1
7488296,-0.152,-0.472,-0.089,-0.015,0.000,-0.006,-126.631,-236.096,366.884,-174.305,1.490,115.309,1,0.0000,0.0000,0.0000,1
7488343,-0.166,-0.431,-0.091,-0.012,0.000,-0.001,-126.631,-236.096,366.884,-174.305,1.490,115.309,1,0.0000,0.0000,0.0000,1
7488390,-0.136,-0.427,0.023,-0.011,-0.000,-0.003,-126.631,-236.096,366.884,-174.305,1.490,115.309,1,0.0000,0.0000,0.0000,1
7488468,-0.105,-0.448,0.111,-0.012,-0.001,-0.007,-126.631,-236.096,366.884,-174.305,1.490,115.309,1,0.0000,0.0000,0.0000,1
7488609,-0.113,-0.452,0.095,-0.012,-0.000,-0.006,-126.631,-236.096,366.884,-174.305,1.490,115.309,1,0.0000,0.0000,0.0000,1
7488703,-0.139,-0.428,0.000,-0.012,0.000,-0.003,-126.631,-236.096,366.884,-174.305,1.490,115.309,1,0.0000,0.0000,0.0000,1
7488750,-0.137,-0.415,-0.023,-0.013,-0.000,-0.004,-126.631,-236.096,366.884,-174.305,1.490,115.309,1,0.0000,0.0000,0.0000,1
7488828,-0.098,-0.434,0.160,-0.013,-0.000,-0.010,-126.631,-236.096,366.884,-174.305,1.490,115.309,1,0.0000,0.0000,0.0000,1
7488906,-0.092,-0.442,0.237,-0.012,0.000,-0.013,-126.631,-236.096,366.884,-174.305,1.490,115.309,1,0.0000,0.0000,0.0000,1
7488984,-0.113,-0.436,0.127,-0.012,0.000,-0.008,-126.631,-236.096,366.884,-174.305,1.490,115.309,1,0.0000,0.0000,0.0000,1
7489078,-0.114,-0.435,0.081,-0.012,-0.001,-0.006,-126.631,-236.096,366.884,-174.305,1.490,115.309,1,0.0000,0.0000,0.0000,1
7489156,-0.152,-0.418,0.021,-0.011,0.000,-0.003,-126.631,-236.096,366.884,-174.305,1.490,115.309,1,0.0000,0.0000,0.0000,1
