t_ms,Fx,Fy,Fz,Mx,My,Mz,pose_x,pose_y,pose_z,pose_rx,pose_ry,pose_rz,ff_enabled,acc_x,acc_y,acc_z,is_still
6321843,-0.006,-0.015,-0.001,-0.001,0.000,-0.000,-103.850,-310.350,383.600,-173.380,-3.310,-113.920,1,0.0000,0.0000,0.0000,1
6321890,-0.087,-0.191,-0.000,-0.007,0.004,-0.002,-103.850,-310.350,383.600,-173.380,-3.310,-113.920,1,0.0000,0.0000,0.0000,1
6322015,-0.097,-0.267,0.066,-0.011,0.005,-0.006,-103.850,-310.350,383.600,-173.380,-3.310,-113.920,1,0.0000,0.0000,0.0000,1
6322062,-0.105,-0.252,-0.019,-0.010,0.005,-0.003,-103.850,-310.350,383.600,-173.380,-3.310,-113.920,1,0.0000,0.0000,0.0000,1
6322109,-0.113,-0.249,-0.039,-0.010,0.005,-0.002,-103.850,-310.350,383.600,-173.380,-3.310,-113.920,1,0.0000,0.0000,0.0000,1
6322187,-0.100,-0.261,0.050,-0.010,0.005,-0.005,-103.850,-310.350,383.600,-173.380,-3.310,-113.920,1,0.0000,0.0000,0.0000,1
6322265,-0.107,-0.247,0.020,-0.010,0.006,-0.004,-103.850,-310.350,383.600,-173.380,-3.310,-113.920,1,0.0000,0.0000,0.0000,1
6322359,-0.101,-0.237,-0.003,-0.009,0.006,-0.002,-103.850,-310.350,383.600,-173.380,-3.310,-113.920,1,0.0000,0.0000,0.0000,1
6322437,-0.104,-0.255,0.049,-0.010,0.006,-0.005,-103.850,-310.350,383.600,-173.380,-3.310,-113.920,1,0.0000,0.0000,0.0000,1
6322546,-0.094,-0.233,-0.004,-0.010,0.005,-0.002,-103.850,-310.350,383.600,-173.380,-3.310,-113.920,1,0.0000,0.0000,0.0000,1
6322640,-0.097,-0.252,0.059,-0.010,0.005,-0.005,-103.850,-310.350,383.600,-173.380,-3.310,-113.920,1,0.0000,0.0000,0.0000,1
6322781,-0.105,-0.258,0.032,-0.010,0.005,-0.005,-103.850,-310.350,383.600,-173.380,-3.310,-113.920,1,0.0000,0.0000,0.0000,1
6322828,-0.105,-0.256,0.002,-0.010,0.005,-0.004,-103.850,-310.350,383.600,-173.380,-3.310,-113.920,1,0.0000,0.0000,0.0000,1
6322875,-0.100,-0.252,0.049,-0.010,0.005,-0.005,-103.850,-310.350,383.600,-173.380,-3.310,-113.920,1,0.0000,0.0000,0.0000,1
6322953,-0.111,-0.251,0.013,-0.010,0.006,-0.003,-103.850,-310.350,383.600,-173.380,-3.310,-113.920,1,0.0000,0.0000,0.0000,1
6323093,-0.104,-0.260,0.046,-0.010,0.005,-0.004,-103.850,-310.350,383.600,-173.380,-3.310,-113.920,1,0.0000,0.0000,0.0000,1
6323187,-0.082,-0.258,0.036,-0.011,0.005,-0.004,-103.850,-310.350,383.600,-173.380,-3.310,-113.920,1,0.0000,0.0000,0.0000,1
6323296,-0.104,-0.256,0.042,-0.010,0.005,-0.005,-103.850,-310.350,383.600,-173.380,-3.310,-113.920,1,0.0000,0.0000,0.0000,1
6323375,-0.106,-0.250,0.030,-0.010,0.006,-0.004,-103.850,-310.350,383.600,-173.380,-3.310,-113.920,1,0.0000,0.0000,0.0000,1
6323468,-0.110,-0.254,0.016,-0.010,0.005,-0.004,-103.850,-310.350,383.600,-173.380,-3.310,-113.920,1,0.0000,0.0000,0.0000,1
6323546,-0.098,-0.256,0.064,-0.010,0.006,-0.005,-103.850,-310.350,383.600,-173.380,-3.310,-113.920,1,0.0000,0.0000,0.0000,1
6323625,-0.106,-0.253,0.029,-0.010,0.006,-0.004,-103.850,-310.350,383.600,-173.380,-3.310,-113.920,1,0.0000,0.0000,0.0000,1
6323734,-0.105,-0.254,0.046,-0.010,0.006,-0.005,-103.850,-310.350,383.600,-173.380,-3.310,-113.920,1,0.0000,0.0000,0.0000,1
6323843,-0.108,-0.246,0.022,-0.010,0.006,-0.003,-103.850,-310.350,383.600,-173.380,-3.310,-113.920,1,0.0000,0.0000,0.0000,1
6323984,-0.126,-0.260,0.055,-0.010,0.007,-0.004,-103.850,-310.350,383.600,-173.380,-3.310,-113.920,1,0.0000,0.0000,0.0000,1
6324031,-0.110,-0.240,0.017,-0.010,0.006,-0.003,-103.850,-310.350,383.600,-173.380,-3.310,-113.920,1,0.0000,0.0000,0.0000,1
6324078,-0.116,-0.246,0.013,-0.010,0.006,-0.003,-103.850,-310.350,383.600,-173.380,-3.310,-113.920,1,0.0000,0.0000,0.0000,1
6324156,-0.121,-0.253,0.020,-0.010,0.005,-0.003,-103.850,-310.350,383.600,-173.380,-3.310,-113.920,1,0.0000,0.0000,0.0000,1
6324296,-0.109,-0.250,0.021,-0.010,0.005,-0.003,-103.850,-310.350,383.600,-173.380,-3.310,-113.920,1,0.0000,0.0000,0.0000,1
6324406,-0.109,-0.243,0.010,-0.010,0.006,-0.003,-103.850,-310.350,383.600,-173.380,-3.310,-113.920,1,0.0000,0.0000,0.0000,1
6324515,-0.114,-0.254,0.054,-0.010,0.006,-0.005,-103.850,-310.350,383.600,-173.380,-3.310,-113.920,1,0.0000,0.0000,0.0000,1
6324593,-0.130,-0.249,0.039,-0.009,0.006,-0.004,-103.850,-310.350,383.600,-173.380,-3.310,-113.920,1,0.0000,0.0000,0.0000,1
6324687,-0.108,-0.250,0.034,-0.010,0.006,-0.003,-103.850,-310.350,383.600,-173.380,-3.310,-113.920,1,0.0000,0.0000,0.0000,1
6324765,-0.131,-0.253,0.067,-0.010,0.006,-0.005,-103.850,-310.350,383.600,-173.380,-3.310,-113.920,1,0.0000,0.0000,0.0000,1
6324843,-0.126,-0.241,0.069,-0.010,0.006,-0.004,-103.850,-310.350,383.600,-173.380,-3.310,-113.920,1,0.0000,0.0000,0.0000,1
6324953,-0.110,-0.245,0.039,-0.010,0.005,-0.004,-103.850,-310.350,383.600,-173.380,-3.310,-113.920,1,0.0000,0.0000,0.0000,1
6325062,-0.116,-0.250,0.041,-0.009,0.006,-0.003,-103.850,-310.350,383.600,-173.380,-3.310,-113.920,1,0.0000,0.0000,0.0000,1
6325203,-0.129,-0.256,0.027,-0.009,0.006,-0.002,-103.850,-310.350,383.600,-173.380,-3.310,-113.920,1,0.0000,0.0000,0.0000,1
6325250,-0.127,-0.263,0.040,-0.010,0.006,-0.003,-103.850,-310.350,383.600,-173.380,-3.310,-113.920,1,0.0000,0.0000,0.0000,1
6325296,-0.121,-0.257,0.027,-0.010,0.006,-0.003,-103.850,-310.350,383.600,-173.380,-3.310,-113.920,1,0.0000,0.0000,0.0000,1
6325375,-0.117,-0.255,0.016,-0.010,0.006,-0.004,-103.850,-310.350,383.600,-173.380,-3.310,-113.920,1,0.0000,0.0000,0.0000,1
6325515,-0.152,-0.275,0.065,-0.010,0.006,-0.003,-103.850,-310.350,383.600,-173.380,-3.310,-113.920,1,0.0000,0.0000,0.0000,1
6325609,-0.111,-0.245,0.037,-0.010,0.006,-0.004,-103.850,-310.350,383.600,-173.380,-3.310,-113.920,1,0.0000,0.0000,0.0000,1
6325718,-0.121,-0.237,0.033,-0.010,0.006,-0.004,-103.850,-310.350,383.600,-173.380,-3.310,-113.920,1,0.0000,0.0000,0.0000,1
6325796,-0.122,-0.238,0.037,-0.009,0.006,-0.003,-103.850,-310.350,383.600,-173.380,-3.310,-113.920,1,0.0000,0.0000,0.0000,1
6325875,-0.113,-0.250,0.057,-0.010,0.006,-0.004,-103.850,-310.350,383.600,-173.380,-3.310,-113.920,1,0.0000,0.0000,0.0000,1
6325968,-0.121,-0.246,0.032,-0.009,0.006,-0.003,-103.850,-310.350,383.600,-173.380,-3.310,-113.920,1,0.0000,0.0000,0.0000,1
6326046,-0.136,-0.245,0.025,-0.009,0.006,-0.002,-103.850,-310.350,383.600,-173.380,-3.310,-113.920,1,0.0000,0.0000,0.0000,1
6326156,-0.113,-0.253,0.026,-0.011,0.006,-0.004,-103.850,-310.350,383.600,-173.380,-3.310,-113.920,1,0.0000,0.0000,0.0000,1
6326250,-0.108,-0.246,0.016,-0.010,0.005,-0.004,-103.850,-310.350,383.600,-173.380,-3.310,-113.920,1,0.0000,0.0000,0.0000,1
6326390,-0.128,-0.234,0.022,-0.009,0.006,-0.002,-103.850,-310.350,383.600,-173.380,-3.310,-113.920,1,0.0000,0.0000,0.0000,1
6326437,-0.115,-0.233,0.031,-0.009,0.005,-0.003,-103.850,-310.350,383.600,-173.380,-3.310,-113.920,1,0.0000,0.0000,0.0000,1
6326484,-0.107,-0.245,0.048,-0.010,0.005,-0.004,-103.850,-310.350,383.600,-173.380,-3.310,-113.920,1,0.0000,0.0000,0.0000,1
6326562,-0.135,-0.217,0.038,-0.008,0.006,-0.002,-103.850,-310.350,383.600,-173.380,-3.310,-113.920,1,0.0000,0.0000,0.0000,1
6326703,-0.112,-0.245,0.024,-0.010,0.006,-0.004,-103.850,-310.350,383.600,-173.380,-3.310,-113.920,1,0.0000,0.0000,0.0000,1
6326796,-0.122,-0.240,0.035,-0.009,0.006,-0.004,-103.850,-310.350,383.600,-173.380,-3.310,-113.920,1,0.0000,0.0000,0.0000,1
6326906,-0.118,-0.267,0.068,-0.009,0.006,-0.004,-103.850,-310.350,383.600,-173.380,-3.310,-113.920,1,0.0000,0.0000,0.0000,1
6326984,-0.111,-0.256,0.021,-0.010,0.006,-0.004,-103.850,-310.350,383.600,-173.380,-3.310,-113.920,1,0.0000,0.0000,0.0000,1
6327078,-0.129,-0.264,0.039,-0.009,0.006,-0.003,-103.850,-310.350,383.600,-173.380,-3.310,-113.920,1,0.0000,0.0000,0.0000,1
6327156,-0.117,-0.239,0.059,-0.009,0.006,-0.002,-103.850,-310.350,383.600,-173.380,-3.310,-113.920,1,0.0000,0.0000,0.0000,1
