t_ms,Fx,Fy,Fz,Mx,My,Mz,pose_x,pose_y,pose_z,pose_rx,pose_ry,pose_rz,ff_enabled,acc_x,acc_y,acc_z,is_still
6711546,-0.042,-0.022,0.014,-0.001,0.002,-0.001,-110.400,-220.100,403.640,179.470,-2.580,-117.430,1,0.0000,0.0000,0.0000,1
6711593,-0.159,-0.087,0.030,-0.004,0.006,-0.002,-110.400,-220.100,403.640,179.470,-2.580,-117.430,1,0.0000,0.0000,0.0000,1
6711640,-0.275,-0.149,0.046,-0.006,0.010,-0.003,-110.400,-220.100,403.640,179.470,-2.580,-117.430,1,0.0000,0.0000,0.0000,1
6711750,-0.248,-0.159,0.042,-0.008,0.009,-0.004,-110.400,-220.100,403.640,179.470,-2.580,-117.430,1,0.0000,0.0000,0.0000,1
6711796,-0.248,-0.156,0.037,-0.008,0.009,-0.004,-110.400,-220.100,403.640,179.470,-2.580,-117.430,1,0.0000,0.0000,0.0000,1
6711843,-0.255,-0.152,0.020,-0.007,0.009,-0.003,-110.400,-220.100,403.640,179.470,-2.580,-117.430,1,0.0000,0.0000,0.0000,1
6711968,-0.263,-0.128,0.045,-0.007,0.009,-0.003,-110.400,-220.100,403.640,179.470,-2.580,-117.430,1,0.0000,0.0000,0.0000,1
6712078,-0.252,-0.161,0.012,-0.008,0.009,-0.003,-110.400,-220.100,403.640,179.470,-2.580,-117.430,1,0.0000,0.0000,0.0000,1
6712156,-0.269,-0.145,0.020,-0.007,0.010,-0.003,-110.400,-220.100,403.640,179.470,-2.580,-117.430,1,0.0000,0.0000,0.0000,1
6712265,-0.272,-0.152,0.048,-0.007,0.010,-0.004,-110.400,-220.100,403.640,179.470,-2.580,-117.430,1,0.0000,0.0000,0.0000,1
6712343,-0.282,-0.153,0.065,-0.007,0.010,-0.004,-110.400,-220.100,403.640,179.470,-2.580,-117.430,1,0.0000,0.0000,0.0000,1
6712421,-0.251,-0.164,0.014,-0.008,0.009,-0.003,-110.400,-220.100,403.640,179.470,-2.580,-117.430,1,0.0000,0.0000,0.0000,1
6712500,-0.284,-0.158,0.046,-0.007,0.010,-0.003,-110.400,-220.100,403.640,179.470,-2.580,-117.430,1,0.0000,0.0000,0.0000,1
6712546,-0.271,-0.160,0.051,-0.007,0.010,-0.004,-110.400,-220.100,403.640,179.470,-2.580,-117.430,1,0.0000,0.0000,0.0000,1
6712593,-0.248,-0.158,0.046,-0.007,0.009,-0.003,-110.400,-220.100,403.640,179.470,-2.580,-117.430,1,0.0000,0.0000,0.0000,1
6712671,-0.245,-0.151,0.050,-0.007,0.009,-0.004,-110.400,-220.100,403.640,179.470,-2.580,-117.430,1,0.0000,0.0000,0.0000,1
6712812,-0.251,-0.151,0.032,-0.008,0.009,-0.003,-110.400,-220.100,403.640,179.470,-2.580,-117.430,1,0.0000,0.0000,0.0000,1
6712906,-0.251,-0.173,0.067,-0.008,0.009,-0.004,-110.400,-220.100,403.640,179.470,-2.580,-117.430,1,0.0000,0.0000,0.0000,1
6713015,-0.262,-0.167,0.071,-0.008,0.010,-0.005,-110.400,-220.100,403.640,179.470,-2.580,-117.430,1,0.0000,0.0000,0.0000,1
6713093,-0.257,-0.162,0.038,-0.008,0.009,-0.004,-110.400,-220.100,403.640,179.470,-2.580,-117.430,1,0.0000,0.0000,0.0000,1
6713187,-0.231,-0.150,0.026,-0.009,0.008,-0.005,-110.400,-220.100,403.640,179.470,-2.580,-117.430,1,0.0000,0.0000,0.0000,1
6713265,-0.255,-0.165,0.054,-0.008,0.009,-0.005,-110.400,-220.100,403.640,179.470,-2.580,-117.430,1,0.0000,0.0000,0.0000,1
