t_ms,Fx,Fy,Fz,Mx,My,Mz,pose_x,pose_y,pose_z,pose_rx,pose_ry,pose_rz,ff_enabled,acc_x,acc_y,acc_z,is_still
7075375,-0.008,-0.033,0.023,-0.002,0.001,-0.001,3.070,-274.860,340.040,-179.620,-2.080,-116.330,1,0.0000,0.0000,0.0000,1
7075421,-0.045,-0.173,0.055,-0.008,0.004,-0.004,3.070,-274.860,340.040,-179.620,-2.080,-116.330,1,0.0000,0.0000,0.0000,1
7075546,-0.077,-0.201,0.000,-0.009,0.005,-0.002,3.070,-274.860,340.040,-179.620,-2.080,-116.330,1,0.0000,0.0000,0.0000,1
7075593,-0.072,-0.199,0.008,-0.009,0.005,-0.002,3.070,-274.860,340.040,-179.620,-2.080,-116.330,1,0.0000,0.0000,0.0000,1
7075640,-0.074,-0.196,0.015,-0.008,0.005,-0.002,3.070,-274.860,340.040,-179.620,-2.080,-116.330,1,0.0000,0.0000,0.0000,1
7075718,-0.080,-0.205,0.002,-0.009,0.005,-0.002,3.070,-274.860,340.040,-179.620,-2.080,-116.330,1,0.0000,0.0000,0.0000,1
7075796,-0.083,-0.199,0.007,-0.008,0.005,-0.002,3.070,-274.860,340.040,-179.620,-2.080,-116.330,1,0.0000,0.0000,0.0000,1
7075890,-0.064,-0.210,0.030,-0.009,0.005,-0.004,3.070,-274.860,340.040,-179.620,-2.080,-116.330,1,0.0000,0.0000,0.0000,1
7075968,-0.061,-0.213,0.058,-0.010,0.005,-0.005,3.070,-274.860,340.040,-179.620,-2.080,-116.330,1,0.0000,0.0000,0.0000,1
7076078,-0.075,-0.210,0.019,-0.009,0.005,-0.003,3.070,-274.860,340.040,-179.620,-2.080,-116.330,1,0.0000,0.0000,0.0000,1
7076171,-0.045,-0.216,0.058,-0.010,0.004,-0.006,3.070,-274.860,340.040,-179.620,-2.080,-116.330,1,0.0000,0.0000,0.0000,1
7076312,-0.070,-0.186,0.013,-0.008,0.005,-0.002,3.070,-274.860,340.040,-179.620,-2.080,-116.330,1,0.0000,0.0000,0.0000,1
