t_ms,Fx,Fy,Fz,Mx,My,Mz,pose_x,pose_y,pose_z,pose_rx,pose_ry,pose_rz,ff_enabled,acc_x,acc_y,acc_z,is_still,raw_x,raw_y,raw_z
10913062,-0.007,0.001,-0.010,-0.000,0.000,0.000,-108.420,-190.770,365.670,-174.030,-3.800,-116.530,1,0.0000,0.0000,0.0000,1,-18.430,-3.090,4.940
10913109,-0.047,0.008,-0.034,0.000,0.002,0.001,-108.420,-190.770,365.670,-174.030,-3.800,-116.530,1,0.0000,0.0000,0.0000,1,-18.450,-3.070,4.950
10913156,-0.083,-0.004,0.009,-0.000,0.003,0.000,-108.420,-190.770,365.670,-174.030,-3.800,-116.530,1,0.0000,0.0000,0.0000,1,-18.540,-3.080,4.900
10913250,-0.085,-0.006,0.018,-0.000,0.003,0.000,-108.420,-190.770,365.670,-174.030,-3.800,-116.530,1,0.0000,0.0000,0.0000,1,-18.490,-3.000,4.630
10913296,-0.074,0.018,-0.004,0.000,0.003,0.001,-108.420,-190.770,365.670,-174.030,-3.800,-116.530,1,0.0000,0.0000,0.0000,1,-18.480,-3.050,4.770
10913343,-0.069,0.024,0.021,0.000,0.003,-0.000,-108.420,-190.770,365.670,-174.030,-3.800,-116.530,1,0.0000,0.0000,0.0000,1,-18.420,-3.070,4.940
10913421,-0.073,-0.003,0.007,-0.001,0.003,-0.000,-108.420,-190.770,365.670,-174.030,-3.800,-116.530,1,0.0000,0.0000,0.0000,1,-18.430,-3.060,4.930
10913500,-0.074,0.000,0.004,0.000,0.003,0.001,-108.420,-190.770,365.670,-174.030,-3.800,-116.530,1,0.0000,0.0000,0.0000,1,-18.400,-3.120,4.830
10913593,-0.083,0.002,0.013,-0.000,0.003,-0.000,-108.420,-190.770,365.670,-174.030,-3.800,-116.530,1,0.0000,0.0000,0.0000,1,-18.510,-3.050,4.630
10913671,-0.073,0.000,-0.005,-0.000,0.003,0.001,-108.420,-190.770,365.670,-174.030,-3.800,-116.530,1,0.0000,0.0000,0.0000,1,-18.380,-3.130,5.090
10913781,-0.066,-0.011,0.012,-0.001,0.003,-0.001,-108.420,-190.770,365.670,-174.030,-3.800,-116.530,1,0.0000,0.0000,0.0000,1,-18.430,-3.070,4.950
10913875,-0.096,0.003,0.022,0.000,0.004,-0.000,-108.420,-190.770,365.670,-174.030,-3.800,-116.530,1,0.0000,0.0000,0.0000,1,-18.530,-3.040,4.710
10914015,-0.082,-0.003,0.031,-0.000,0.003,-0.001,-108.420,-190.770,365.670,-174.030,-3.800,-116.530,1,0.0000,0.0000,0.0000,1,-18.350,-3.110,5.100
