P| 共 14281 条

########## 窗口 23:08:57 .. 23:09:27 ##########
  样本 66 条
  t           Rx      Ry      Rz   |  Δ(deg)  轴(器件系)                | 轴(世界系)
  23:08:57.017   -25.28   24.71  -24.24
  23:08:57.728   -42.00   24.02  -26.26  |   16.01  (-0.99,+0.03,-0.12)   (-0.88,+0.37,+0.31)
  23:08:58.083   -39.11   21.82  -27.87  |    4.41  (+0.80,-0.16,-0.58)   (+0.31,-0.72,-0.62)
  23:08:58.395   -37.16   31.03  -21.81  |   10.71  (-0.07,+0.36,+0.93)   (+0.51,+0.71,+0.48)
  23:08:58.699   -37.99   35.12  -19.45  |    5.01  (-0.42,+0.41,+0.81)   (+0.16,+0.81,+0.56)
  23:08:59.050   -40.48   28.81  -21.75  |    6.73  (-0.19,-0.54,-0.82)   (-0.62,-0.77,-0.15)
  23:08:59.759   -61.91   18.13  -14.93  |   27.10  (-0.89,-0.43,-0.16)   (-0.81,-0.14,+0.56)
  23:09:00.112   -58.75   16.72  -15.09  |    3.51  (+0.91,-0.16,-0.37)   (+0.73,-0.61,-0.32)
  23:09:00.434   -59.60   19.52  -17.84  |    3.83  (+0.00,+0.96,+0.28)   (+0.00,+0.76,-0.65)
  23:09:00.785   -62.26   18.65  -24.94  |    6.77  (-0.05,+0.80,-0.59)   (-0.39,+0.02,-0.92)
  23:09:01.090   -62.69   19.44  -30.69  |    5.68  (+0.25,+0.91,-0.32)   (+0.00,+0.16,-0.99)
  23:09:01.454   -64.72   20.14  -36.41  |    5.43  (-0.02,+0.95,-0.32)   (-0.22,+0.30,-0.93)
  23:09:02.158   -67.23   19.25  -41.00  |    4.52  (-0.21,+0.79,-0.57)   (-0.53,+0.17,-0.83)
  23:09:02.447   -65.19   19.24  -39.58  |    2.07  (+0.76,-0.60,+0.26)   (+0.71,-0.61,+0.36)
  23:09:02.796   -61.59   20.16  -34.05  |    5.56  (+0.31,-0.76,+0.57)   (+0.59,-0.23,+0.78)
  23:09:03.104   -60.49   19.99  -28.69  |    5.09  (-0.15,-0.88,+0.45)   (+0.16,-0.13,+0.98)
  23:09:03.468   -57.38   21.76  -21.76  |    6.74  (+0.09,-0.69,+0.72)   (+0.50,+0.05,+0.86)
  23:09:04.173   -52.47   22.24  -13.81  |    7.63  (+0.25,-0.75,+0.61)   (+0.59,-0.12,+0.80)
  23:09:04.496   -53.31   24.22  -13.93  |    2.14  (-0.37,+0.60,+0.71)   (-0.13,+0.99,+0.10)
  23:09:04.802   -55.94   23.76  -18.65  |    4.39  (-0.16,+0.74,-0.65)   (-0.55,+0.05,-0.83)
  23:09:06.186   -53.37   24.74  -17.94  |    2.56  (+0.89,+0.02,+0.46)   (+0.99,+0.08,-0.13)
  23:09:06.498   -56.03   24.78  -17.65  |    2.79  (-1.00,-0.07,+0.07)   (-0.82,+0.28,+0.50)
  23:09:06.850   -56.38   24.91  -17.32  |    0.59  (-0.83,-0.30,+0.47)   (-0.45,+0.37,+0.81)
  23:09:07.155   -52.83   25.89  -15.68  |    3.36  (+0.85,-0.19,+0.49)   (+1.00,+0.01,+0.03)
  23:09:07.513   -51.94   26.19  -17.07  |    1.97  (+0.76,+0.59,-0.27)   (+0.43,+0.03,-0.90)
  23:09:07.864   -50.45   26.80  -16.75  |    1.51  (+0.89,+0.11,+0.43)   (+0.96,+0.13,-0.23)
  23:09:08.166   -49.37   27.14  -15.73  |    1.15  (+0.54,-0.41,+0.74)   (+0.89,+0.05,+0.46)
  23:09:08.531   -51.65   25.81  -17.34  |    2.51  (-0.62,+0.11,-0.77)   (-0.93,-0.28,-0.24)
  23:09:08.833   -52.16   25.38  -17.55  |    0.63  (-0.67,-0.18,-0.72)   (-0.90,-0.43,+0.02)
  23:09:09.187   -54.79   25.17  -18.50  |    2.39  (-0.93,+0.24,-0.28)   (-0.97,+0.22,+0.07)
  23:09:09.874   -45.68   38.45   -3.63  |   18.32  (+0.06,-0.07,+1.00)   (+0.56,+0.63,+0.54)
  23:09:10.226   -51.36   32.29  -11.42  |    8.92  (-0.13,+0.08,-0.99)   (-0.61,-0.62,-0.50)
  23:09:10.890   -64.71   14.03  -30.20  |   25.70  (-0.22,+0.20,-0.95)   (-0.70,-0.49,-0.52)
  23:09:11.555   -63.37   15.94  -29.77  |    2.31  (+0.53,+0.20,+0.82)   (+0.90,+0.44,+0.04)
  23:09:11.897   -52.98   32.20  -16.32  |   20.89  (+0.23,-0.09,+0.97)   (+0.72,+0.54,+0.43)
  23:09:12.202   -48.39   35.10  -11.28  |    5.41  (+0.33,-0.26,+0.91)   (+0.81,+0.35,+0.46)
  23:09:12.917   -64.03   15.71  -29.73  |   26.55  (-0.28,+0.12,-0.95)   (-0.76,-0.49,-0.43)
  23:09:13.267   -64.26   15.21  -30.37  |    0.80  (-0.07,+0.42,-0.90)   (-0.56,-0.40,-0.73)
  23:09:13.562   -63.43   16.38  -30.01  |    1.42  (+0.51,+0.14,+0.85)   (+0.90,+0.43,+0.09)
  23:09:13.887   -60.85   23.79  -25.31  |    8.68  (+0.11,-0.05,+0.99)   (+0.64,+0.63,+0.44)
  23:09:14.242   -53.59   31.75  -17.35  |   11.19  (+0.32,-0.15,+0.94)   (+0.79,+0.45,+0.41)
  23:09:14.581   -53.20   31.90  -17.25  |    0.38  (+0.89,+0.06,+0.45)   (+0.95,+0.12,-0.28)
  23:09:14.960   -59.28   22.17  -25.76  |   12.52  (-0.17,+0.07,-0.98)   (-0.69,-0.56,-0.46)
