t_ms,Fx,Fy,Fz,Mx,My,Mz,pose_x,pose_y,pose_z,pose_rx,pose_ry,pose_rz,ff_enabled,acc_x,acc_y,acc_z,is_still
18960937,0.003,0.018,0.008,0.000,0.000,0.000,-35.319,-295.475,417.500,-173.252,-14.098,-108.365,1,0.0000,0.0000,0.0000,1
18960984,0.040,0.227,0.048,0.002,0.004,0.000,-35.319,-295.475,417.500,-173.252,-14.098,-108.365,1,0.0000,0.0000,0.0000,1
18961109,0.046,0.284,0.075,0.002,0.005,-0.001,-35.319,-295.475,417.500,-173.252,-14.098,-108.365,1,0.0000,0.0000,0.0000,1
18961156,0.057,0.292,0.053,0.002,0.005,0.000,-35.319,-295.475,417.500,-173.252,-14.098,-108.365,1,0.0000,0.0000,0.0000,1
18961203,0.052,0.292,0.036,0.002,0.005,0.001,-35.319,-295.475,417.500,-173.252,-14.098,-108.365,1,0.0000,0.0000,0.0000,1
18961281,0.051,0.300,0.022,0.003,0.005,0.002,-35.319,-295.475,417.500,-173.252,-14.098,-108.365,1,0.0000,0.0000,0.0000,1
18961359,0.037,0.281,0.095,0.002,0.005,-0.000,-35.319,-295.475,417.500,-173.252,-14.098,-108.365,1,0.0000,0.0000,0.0000,1
18961453,0.044,0.274,0.019,0.002,0.005,0.001,-35.319,-295.475,417.500,-173.252,-14.098,-108.365,1,0.0000,0.0000,0.0000,1
18961531,0.065,0.259,0.061,0.001,0.005,-0.001,-35.319,-295.475,417.500,-173.252,-14.098,-108.365,1,0.0000,0.0000,0.0000,1
18961640,0.046,0.286,0.047,0.003,0.005,0.001,-35.319,-295.475,417.500,-173.252,-14.098,-108.365,1,0.0000,0.0000,0.0000,1
18961734,0.046,0.284,0.027,0.002,0.005,0.002,-35.319,-295.475,417.500,-173.252,-14.098,-108.365,1,0.0000,0.0000,0.0000,1
18961875,0.050,0.276,0.084,0.002,0.005,-0.000,-35.319,-295.475,417.500,-173.252,-14.098,-108.365,1,0.0000,0.0000,0.0000,1
18961921,0.056,0.278,0.053,0.002,0.005,0.001,-35.319,-295.475,417.500,-173.252,-14.098,-108.365,1,0.0000,0.0000,0.0000,1
18961968,0.065,0.274,0.055,0.002,0.005,0.001,-35.319,-295.475,417.500,-173.252,-14.098,-108.365,1,0.0000,0.0000,0.0000,1
18962046,0.070,0.303,-0.004,0.002,0.005,0.002,-35.319,-295.475,417.500,-173.252,-14.098,-108.365,1,0.0000,0.0000,0.0000,1
18962187,0.036,0.285,0.024,0.002,0.005,0.001,-35.319,-295.475,417.500,-173.252,-14.098,-108.365,1,0.0000,0.0000,0.0000,1
